,region,pm,horizon,accuracy,hit,pod,far,f1
0,R4_59,PM10,3,0.59375,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.09523809523809525
1,R4_59,PM10,4,0.5710227272727273,0.10714285714285714,0.10714285714285714,0.7692307692307693,0.14634146341463414
2,R4_59,PM10,5,0.5369318181818182,0.10714285714285714,0.10714285714285714,0.8235294117647058,0.13333333333333333
3,R4_59,PM10,6,0.5227272727272727,0.07142857142857142,0.07142857142857142,0.8333333333333334,0.09999999999999998
4,R4_59,PM25,3,0.5170454545454546,0.30952380952380953,0.4523809523809524,0.7432432432432432,0.32758620689655177
5,R4_59,PM25,4,0.5085227272727273,0.3333333333333333,0.47619047619047616,0.6875,0.37735849056603776
6,R4_59,PM25,5,0.46875,0.2857142857142857,0.40476190476190477,0.7733333333333333,0.2905982905982906
7,R4_59,PM25,6,0.5511363636363636,0.38095238095238093,0.4523809523809524,0.7397260273972602,0.3304347826086957
8,R4_60,PM10,3,0.59375,0.1724137931034483,0.1724137931034483,0.7222222222222222,0.21276595744680854
9,R4_60,PM10,4,0.5511363636363636,0.1724137931034483,0.1724137931034483,0.782608695652174,0.1923076923076923
10,R4_60,PM10,5,0.5340909090909091,0.10344827586206896,0.10344827586206896,0.85,0.12244897959183675
11,R4_60,PM10,6,0.5539772727272727,0.13793103448275862,0.13793103448275862,0.8,0.16326530612244897
12,R4_60,PM25,3,0.4715909090909091,0.325,0.475,0.7840909090909091,0.29687500000000006
13,R4_60,PM25,4,0.45738636363636365,0.35,0.525,0.7439024390243902,0.3442622950819672
14,R4_60,PM25,5,0.4346590909090909,0.275,0.45,0.8105263157894737,0.26666666666666666
15,R4_60,PM25,6,0.48579545454545453,0.275,0.375,0.8235294117647058,0.24000000000000005
16,R4_61,PM10,3,0.5568181818181818,0.14285714285714285,0.14285714285714285,0.7333333333333333,0.18604651162790697
17,R4_61,PM10,4,0.53125,0.14285714285714285,0.17857142857142858,0.7058823529411765,0.2222222222222222
18,R4_61,PM10,5,0.5738636363636364,0.14285714285714285,0.17857142857142858,0.7619047619047619,0.2040816326530612
19,R4_61,PM10,6,0.5681818181818182,0.07142857142857142,0.07142857142857142,0.8666666666666667,0.09302325581395347
20,R4_61,PM25,3,0.4602272727272727,0.2916666666666667,0.4375,0.704225352112676,0.35294117647058826
21,R4_61,PM25,4,0.4659090909090909,0.2708333333333333,0.375,0.71875,0.32142857142857145
22,R4_61,PM25,5,0.4602272727272727,0.25,0.375,0.7777777777777778,0.27906976744186046
23,R4_61,PM25,6,0.5085227272727273,0.25,0.4166666666666667,0.7402597402597403,0.32
24,R4_62,PM10,3,0.5767045454545454,0.12121212121212122,0.12121212121212122,0.7333333333333333,0.16666666666666669
25,R4_62,PM10,4,0.5653409090909091,0.15151515151515152,0.15151515151515152,0.7222222222222222,0.19607843137254904
26,R4_62,PM10,5,0.5255681818181818,0.09090909090909091,0.09090909090909091,0.8333333333333334,0.1176470588235294
27,R4_62,PM10,6,0.5198863636363636,0.09090909090909091,0.09090909090909091,0.8,0.12499999999999997
28,R4_62,PM25,3,0.4346590909090909,0.23404255319148937,0.3829787234042553,0.7857142857142857,0.2748091603053435
29,R4_62,PM25,4,0.4744318181818182,0.2553191489361702,0.425531914893617,0.7468354430379747,0.3174603174603175
30,R4_62,PM25,5,0.4346590909090909,0.2553191489361702,0.3829787234042553,0.7906976744186046,0.27067669172932335
31,R4_62,PM25,6,0.4914772727272727,0.3617021276595745,0.46808510638297873,0.75,0.32592592592592595
32,R4_63,PM10,3,0.6363636363636364,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.09523809523809525
33,R4_63,PM10,4,0.6193181818181818,0.0,0.0,1.0,0.0
34,R4_63,PM10,5,0.6164772727272727,0.0,0.0,1.0,0.0
35,R4_63,PM10,6,0.5823863636363636,0.0,0.0,1.0,0.0
36,R4_63,PM25,3,0.6107954545454546,0.4782608695652174,0.5217391304347826,0.7647058823529411,0.32432432432432434
37,R4_63,PM25,4,0.5482954545454546,0.34782608695652173,0.391304347826087,0.8043478260869565,0.2608695652173913
38,R4_63,PM25,5,0.5426136363636364,0.30434782608695654,0.30434782608695654,0.8541666666666666,0.19718309859154934
39,R4_63,PM25,6,0.5454545454545454,0.391304347826087,0.43478260869565216,0.7916666666666666,0.28169014084507044
40,R4_64,PM10,3,0.7329545454545454,0.0,0.0,1.0,0.0
41,R4_64,PM10,4,0.75,0.0,0.0,1.0,0.0
42,R4_64,PM10,5,0.7528409090909091,0.0,0.0,1.0,0.0
43,R4_64,PM10,6,0.7471590909090909,0.0,0.0,1.0,0.0
44,R4_64,PM25,3,0.6676136363636364,0.4,0.4,0.9047619047619048,0.15384615384615385
45,R4_64,PM25,4,0.6818181818181818,0.4,0.4,0.9130434782608695,0.14285714285714293
46,R4_64,PM25,5,0.71875,0.6,0.6,0.8235294117647058,0.27272727272727276
47,R4_64,PM25,6,0.6903409090909091,0.4,0.4,0.9,0.15999999999999998
48,R4_65,PM10,3,0.5511363636363636,0.03333333333333333,0.03333333333333333,0.9230769230769231,0.04651162790697674
49,R4_65,PM10,4,0.5880681818181818,0.1,0.1,0.7857142857142857,0.13636363636363638
50,R4_65,PM10,5,0.5710227272727273,0.06666666666666667,0.06666666666666667,0.8461538461538461,0.09302325581395349
51,R4_65,PM10,6,0.5142045454545454,0.06666666666666667,0.06666666666666667,0.8,0.1
52,R4_65,PM25,3,0.48579545454545453,0.28205128205128205,0.48717948717948717,0.7682926829268293,0.31404958677685946
53,R4_65,PM25,4,0.4914772727272727,0.3076923076923077,0.38461538461538464,0.7945205479452054,0.26785714285714285
54,R4_65,PM25,5,0.48295454545454547,0.3333333333333333,0.46153846153846156,0.7831325301204819,0.29508196721311475
55,R4_65,PM25,6,0.45170454545454547,0.3333333333333333,0.46153846153846156,0.8,0.27906976744186046
56,R4_66,PM10,3,0.5653409090909091,0.047619047619047616,0.047619047619047616,0.9375,0.05405405405405405
57,R4_66,PM10,4,0.5795454545454546,0.047619047619047616,0.047619047619047616,0.9473684210526315,0.050000000000000024
58,R4_66,PM10,5,0.5710227272727273,0.047619047619047616,0.047619047619047616,0.9444444444444444,0.051282051282051294
59,R4_66,PM10,6,0.53125,0.09523809523809523,0.09523809523809523,0.875,0.1081081081081081
60,R4_66,PM25,3,0.4744318181818182,0.25,0.4,0.8117647058823529,0.256
61,R4_66,PM25,4,0.4943181818181818,0.3,0.425,0.8023255813953488,0.2698412698412699
62,R4_66,PM25,5,0.4914772727272727,0.375,0.45,0.8125,0.26470588235294124
63,R4_66,PM25,6,0.48011363636363635,0.325,0.375,0.8314606741573034,0.2325581395348837
64,R4_67,PM10,3,0.59375,0.0,0.0,1.0,0.0
65,R4_67,PM10,4,0.5909090909090909,0.0,0.0,1.0,0.0
66,R4_67,PM10,5,0.5965909090909091,0.05,0.05,0.9411764705882353,0.054054054054054064
67,R4_67,PM10,6,0.5397727272727273,0.05,0.05,0.9166666666666666,0.06250000000000001
68,R4_67,PM25,3,0.5028409090909091,0.3181818181818182,0.5454545454545454,0.8518518518518519,0.23300970873786409
69,R4_67,PM25,4,0.48295454545454547,0.3181818181818182,0.5,0.8571428571428571,0.2222222222222223
70,R4_67,PM25,5,0.5056818181818182,0.45454545454545453,0.5454545454545454,0.8666666666666667,0.21428571428571425
71,R4_67,PM25,6,0.48011363636363635,0.4090909090909091,0.45454545454545453,0.875,0.196078431372549
72,R4_68,PM10,3,0.5852272727272727,0.043478260869565216,0.043478260869565216,0.9285714285714286,0.05405405405405404
73,R4_68,PM10,4,0.5965909090909091,0.043478260869565216,0.043478260869565216,0.9285714285714286,0.05405405405405404
74,R4_68,PM10,5,0.5738636363636364,0.0,0.0,1.0,0.0
75,R4_68,PM10,6,0.53125,0.043478260869565216,0.043478260869565216,0.9,0.06060606060606061
76,R4_68,PM25,3,0.4971590909090909,0.3076923076923077,0.4423076923076923,0.6933333333333334,0.3622047244094488
77,R4_68,PM25,4,0.4943181818181818,0.3269230769230769,0.46153846153846156,0.6883116883116883,0.372093023255814
78,R4_68,PM25,5,0.48579545454545453,0.28846153846153844,0.4423076923076923,0.6933333333333334,0.3622047244094488
79,R4_68,PM25,6,0.46875,0.28846153846153844,0.3269230769230769,0.7848101265822784,0.25954198473282447
80,R4_69,PM10,3,0.6477272727272727,0.10526315789473684,0.10526315789473684,0.6666666666666666,0.16
81,R4_69,PM10,4,0.6164772727272727,0.0,0.0,1.0,0.0
82,R4_69,PM10,5,0.6022727272727273,0.05263157894736842,0.05263157894736842,0.9,0.0689655172413793
83,R4_69,PM10,6,0.5795454545454546,0.05263157894736842,0.05263157894736842,0.875,0.07407407407407407
84,R4_69,PM25,3,0.5454545454545454,0.3333333333333333,0.4166666666666667,0.7619047619047619,0.30303030303030304
85,R4_69,PM25,4,0.53125,0.2777777777777778,0.3611111111111111,0.7796610169491526,0.27368421052631575
86,R4_69,PM25,5,0.5426136363636364,0.3055555555555556,0.3888888888888889,0.7666666666666667,0.2916666666666666
87,R4_69,PM25,6,0.5056818181818182,0.2777777777777778,0.3055555555555556,0.7962962962962963,0.24444444444444446
88,R4_70,PM10,3,0.5681818181818182,0.045454545454545456,0.045454545454545456,0.9285714285714286,0.055555555555555546
89,R4_70,PM10,4,0.5369318181818182,0.0,0.0,1.0,0.0
90,R4_70,PM10,5,0.5880681818181818,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.1212121212121212
91,R4_70,PM10,6,0.53125,0.09090909090909091,0.09090909090909091,0.75,0.13333333333333333
92,R4_70,PM25,3,0.4971590909090909,0.3333333333333333,0.48484848484848486,0.7575757575757576,0.32323232323232326
93,R4_70,PM25,4,0.5028409090909091,0.42424242424242425,0.48484848484848486,0.7611940298507462,0.32
94,R4_70,PM25,5,0.5085227272727273,0.5151515151515151,0.6060606060606061,0.6825396825396826,0.4166666666666667
95,R4_70,PM25,6,0.48011363636363635,0.21212121212121213,0.3333333333333333,0.7962962962962963,0.25287356321839083
96,R4_71,PM10,3,0.6335227272727273,0.06666666666666667,0.06666666666666667,0.8,0.1
97,R4_71,PM10,4,0.6477272727272727,0.0,0.0,1.0,0.0
98,R4_71,PM10,5,0.6306818181818182,0.06666666666666667,0.06666666666666667,0.8333333333333334,0.09523809523809523
99,R4_71,PM10,6,0.5823863636363636,0.0,0.0,1.0,0.0
100,R4_71,PM25,3,0.5170454545454546,0.22727272727272727,0.3181818181818182,0.8771929824561403,0.17721518987341778
101,R4_71,PM25,4,0.5227272727272727,0.45454545454545453,0.45454545454545453,0.8275862068965517,0.25000000000000006
102,R4_71,PM25,5,0.5085227272727273,0.5,0.5454545454545454,0.7818181818181819,0.3116883116883116
103,R4_71,PM25,6,0.48295454545454547,0.36363636363636365,0.4090909090909091,0.8,0.2686567164179104
104,R4_72,PM10,3,0.6221590909090909,0.0,0.0,1.0,0.0
105,R4_72,PM10,4,0.6051136363636364,0.07142857142857142,0.07142857142857142,0.9333333333333333,0.0689655172413793
106,R4_72,PM10,5,0.6193181818181818,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.14285714285714288
107,R4_72,PM10,6,0.6306818181818182,0.07142857142857142,0.07142857142857142,0.9,0.08333333333333333
108,R4_72,PM25,3,0.5142045454545454,0.2571428571428571,0.34285714285714286,0.8064516129032258,0.2474226804123712
109,R4_72,PM25,4,0.5113636363636364,0.3142857142857143,0.4,0.7777777777777778,0.2857142857142857
110,R4_72,PM25,5,0.5170454545454546,0.2,0.34285714285714286,0.7818181818181819,0.2666666666666666
111,R4_72,PM25,6,0.5369318181818182,0.2857142857142857,0.3142857142857143,0.8135593220338984,0.23404255319148934
112,R4_73,PM10,3,0.6846590909090909,0.0,0.0,1.0,0.0
113,R4_73,PM10,4,0.6761363636363636,0.0,0.0,1.0,0.0
114,R4_73,PM10,5,0.6704545454545454,0.0,0.0,1.0,0.0
115,R4_73,PM10,6,0.6590909090909091,0.0,0.0,1.0,0.0
116,R4_73,PM25,3,0.5909090909090909,0.2727272727272727,0.2727272727272727,0.9411764705882353,0.09677419354838711
117,R4_73,PM25,4,0.5482954545454546,0.36363636363636365,0.45454545454545453,0.9019607843137255,0.16129032258064516
118,R4_73,PM25,5,0.5568181818181818,0.18181818181818182,0.2727272727272727,0.9347826086956522,0.1052631578947368
119,R4_73,PM25,6,0.5880681818181818,0.2727272727272727,0.2727272727272727,0.925,0.11764705882352935
120,R4_74,PM10,3,0.6960227272727273,0.0,0.0,1.0,0.0
121,R4_74,PM10,4,0.6875,0.0,0.0,1.0,0.0
122,R4_74,PM10,5,0.6761363636363636,0.0,0.0,1.0,0.0
123,R4_74,PM10,6,0.6534090909090909,0.0,0.0,1.0,0.0
124,R4_74,PM25,3,0.5056818181818182,0.09090909090909091,0.18181818181818182,0.9636363636363636,0.06060606060606062
125,R4_74,PM25,4,0.5426136363636364,0.2727272727272727,0.2727272727272727,0.9464285714285714,0.0895522388059702
126,R4_74,PM25,5,0.5170454545454546,0.2727272727272727,0.36363636363636365,0.9259259259259259,0.12307692307692307
127,R4_74,PM25,6,0.5539772727272727,0.18181818181818182,0.2727272727272727,0.9302325581395349,0.11111111111111113
128,R4_75,PM10,3,0.6647727272727273,0.07692307692307693,0.07692307692307693,0.875,0.09523809523809525
129,R4_75,PM10,4,0.6477272727272727,0.0,0.0,1.0,0.0
130,R4_75,PM10,5,0.6136363636363636,0.07692307692307693,0.07692307692307693,0.9090909090909091,0.08333333333333334
131,R4_75,PM10,6,0.5795454545454546,0.0,0.0,1.0,0.0
132,R4_75,PM25,3,0.5369318181818182,0.3,0.35,0.8888888888888888,0.16867469879518077
133,R4_75,PM25,4,0.5085227272727273,0.45,0.5,0.8717948717948718,0.2040816326530612
134,R4_75,PM25,5,0.4943181818181818,0.45,0.5,0.8507462686567164,0.22988505747126436
135,R4_75,PM25,6,0.5028409090909091,0.4,0.45,0.82,0.2571428571428572
136,R4_76,PM10,3,0.6647727272727273,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666
137,R4_76,PM10,4,0.6335227272727273,0.0,0.0,1.0,0.0
138,R4_76,PM10,5,0.6335227272727273,0.08333333333333333,0.08333333333333333,0.9,0.09090909090909091
139,R4_76,PM10,6,0.6278409090909091,0.0,0.0,1.0,0.0
140,R4_76,PM25,3,0.5340909090909091,0.2857142857142857,0.35714285714285715,0.9122807017543859,0.14084507042253527
141,R4_76,PM25,4,0.5113636363636364,0.21428571428571427,0.42857142857142855,0.9032258064516129,0.1578947368421053
142,R4_76,PM25,5,0.5340909090909091,0.5,0.5714285714285714,0.8596491228070176,0.22535211267605634
143,R4_76,PM25,6,0.5284090909090909,0.21428571428571427,0.35714285714285715,0.8958333333333334,0.1612903225806451
144,R4_77,PM10,3,0.6903409090909091,0.0,0.0,1.0,0.0
145,R4_77,PM10,4,0.6846590909090909,0.0,0.0,1.0,0.0
146,R4_77,PM10,5,0.6903409090909091,0.0,0.0,1.0,0.0
147,R4_77,PM10,6,0.6846590909090909,0.0,0.0,1.0,0.0
148,R4_77,PM25,3,0.6875,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.20000000000000004
149,R4_77,PM25,4,0.6704545454545454,0.0,0.1111111111111111,0.9444444444444444,0.0740740740740741
150,R4_77,PM25,5,0.6931818181818182,0.1111111111111111,0.2222222222222222,0.9,0.1379310344827586
151,R4_77,PM25,6,0.6761363636363636,0.1111111111111111,0.2222222222222222,0.8888888888888888,0.1481481481481482
